,Date,BTC-CAD,ETH-CAD,BNB-CAD,XRP-CAD,ADA-CAD,SOL-CAD,DOGE-CAD,DOT-CAD,MATIC-CAD,SHIB-CAD,AVAX-CAD,UNI-CAD,ETC-CAD,LTC-CAD,ATOM-CAD,NEAR-CAD,LINK-CAD,CRO-CAD,XLM-CAD,FLOW-CAD,VET-CAD
55,2014-11-11,500.0652099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999210357666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2014-11-12,576.0429663085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533309860229493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2014-11-13,572.199580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.572817687988282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2014-11-14,541.032470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.425543346405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2014-11-15,511.54087402343754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.241888885498048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2014-11-16,527.5195043945313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.281736850738525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2014-11-17,526.8748657226563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.273318367004395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2014-11-18,510.26927734375005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127417545318604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2014-11-19,517.5547900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178145694732667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2014-11-20,486.6623950195313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911708126068116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2014-11-21,477.15326904296876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7558246421813966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2014-11-22,479.9712182617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791674289703369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2014-11-23,499.89927734375004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888329753875733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2014-11-24,512.585361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9348280715942385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2014-11-25,510.4732690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.851800155639649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2014-11-26,500.98319335937504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.842225723266602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2014-11-27,502.7512182617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841436824798584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2014-11-28,511.96790771484376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901249465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2014-11-29,510.6677563476563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87734094619751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2014-11-30,514.143916015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.863482532501221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2014-12-01,515.773193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864910526275635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2014-12-02,518.5884033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.938295917510986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2014-12-03,510.01361328125006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912347221374512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2014-12-04,502.66144531250006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885976676940919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2014-12-05,512.5214453125001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92079294204712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2014-12-06,509.7076049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9157472991943365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2014-12-07,510.1292016601563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047177524566651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2014-12-08,492.19623535156256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.968351879119873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2014-12-09,479.01783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788791065216065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2014-12-10,471.05638671875005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759809665679932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2014-12-11,476.6881762695313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734268875122071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2014-12-12,479.457109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741925697326661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
